DOC_ID,CUSTODIAN,FILE_TYPE,CREATED_DATE,HASH
1,Custodian_21,msg,12/30/2025,043bae1603803a839c0cb52f511d9cb8
2,Custodian_13,msg,12/29/2025,8d9d9b0341314a5534ea92b26fa8adc3
3,Custodian_02,jpg,12/28/2025,61e9b37ea22b8b695f27cd22a969748f
4,Custodian_22,msg,12/27/2025,a84a167fe482ed4a92c8c8050eed40ef
5,Custodian_03,txt,12/26/2025,df82af289fecbb6a5e7310890b010584
6,Custodian_16,xlsx,12/25/2025,8be93761a56d0aa0bc138227d1cd1a80
7,Custodian_03,xlsx,12/24/2025,273606f4c76ff8b24f98b098d2f129a3
8,Custodian_04,xlsx,12/23/2025,901a954a542a7ee09918825134784fc8
9,Custodian_22,pptx,12/22/2025,e1e4eb2435ad84e0ad052f27b81fb205
10,Custodian_18,docx,12/21/2025,605ef05aa58dfbe32c262ec6ab32b607
11,Custodian_07,txt,12/20/2025,5dd3a641c58ad50e49f095c6f1e3068c
12,Custodian_22,xlsx,12/19/2025,51a55db4466426fae9480469a7737ec2
13,Custodian_03,pptx,12/18/2025,8a5dca33037d16a3b73a0cc162f803d7
14,Custodian_15,jpg,12/17/2025,fe9b8d8eb743ac8a41445823bb168636
15,Custodian_25,pdf,12/16/2025,dc605cdf6b8933605a627290690a2706
16,Custodian_07,txt,12/15/2025,5c6cd4108f5acacf3022a93bc29b1df1
17,Custodian_01,pptx,12/14/2025,9e6f39d3b4acc908a1a06765e7228a9e
18,Custodian_25,txt,12/13/2025,7d953e47c9a57575449e88336837b704
19,Custodian_13,xlsx,12/12/2025,49786b5b441318c237bf841332084f8b
20,Custodian_05,txt,12/11/2025,10475f4d1179a2cf138699c6e49690f1
21,Custodian_25,xlsx,12/10/2025,a413826b7044d134c9c3132420c9de77
22,Custodian_10,png,12/09/2025,f87106541fd9ffa40c7ae29a7155ad5b
23,Custodian_10,png,12/08/2025,d8755f68fa8635cac38e7b1f932881fe
24,Custodian_15,msg,12/07/2025,a2e4b6777239b21cd5c40bd9ad775c6e
25,Custodian_07,xlsx,12/06/2025,93c0bbc6adf7089dd787b6a27f5baddd
26,Custodian_13,jpg,12/05/2025,ae7893a431fcb1240505636a2296a793
27,Custodian_21,pptx,12/04/2025,7ae7481ff4fb74fd1654b0d60dcfebde
28,Custodian_25,xlsx,12/03/2025,95a9abadaea479b14b228f8ed4d7cb51
29,Custodian_03,docx,12/02/2025,c3aa6d816415b46a5a79f59aa7ba100f
30,Custodian_04,msg,12/01/2025,3865fb89bead9f4b3735f5ea04ffd13a
31,Custodian_01,pdf,11/30/2025,c3291c33d52e0d2242a00c3520b8b7c8
32,Custodian_04,txt,11/29/2025,8f0cd87f076a7e11914a85f8791bdacb
33,Custodian_07,png,11/28/2025,7357616a52e1d11bc898515acdbf9593
34,Custodian_22,txt,11/27/2025,31d5c9cdfd9a0ed42b450d962a0b3655
35,Custodian_24,jpg,11/26/2025,c91029a4a774c164a7a0690432450b26
36,Custodian_23,xlsx,11/25/2025,8dc1d00ed99b6105c9de1d3986455281
37,Custodian_17,xlsx,11/24/2025,e5bdd3239ca2c7cc7e9a9da217440847
38,Custodian_02,jpg,11/23/2025,d1dd9878ce7ca57201e5b82377825465
39,Custodian_20,pdf,11/22/2025,ca11a4baed5925fb69f46cdadba8a655
40,Custodian_06,xlsx,11/21/2025,5c3f24c88b8ae9922b9eb05bf9cc33fc
41,Custodian_07,jpg,11/20/2025,a97cc86239d075eb811278d1edee6656
42,Custodian_03,jpg,11/19/2025,351b520e7dc79e032f96c313a91d78a9
43,Custodian_23,docx,11/18/2025,40592a85f8c80d065b513a19c255adaf
44,Custodian_16,docx,11/17/2025,c1c74030e8f84c35cd515ebe6f77e8cb
45,Custodian_03,png,11/16/2025,9d851a496b50d5f4ff1a5caf29c01c56
46,Custodian_19,pdf,11/15/2025,9af5c986a31b768447f4e71d7e71ad55
47,Custodian_03,pptx,11/14/2025,edbeac8132c085c8914fb8cd1fa7a5ec
48,Custodian_21,docx,11/13/2025,c28dd842e3f8413f4a91a9929e5e0d1f
49,Custodian_25,pptx,11/12/2025,ac6a7a4f7ca41077395bbdf258574314
50,Custodian_13,png,11/11/2025,3d2595c78740f8f3507ea78d6ebc5693
51,Custodian_18,pptx,11/10/2025,18c4fa1f6c5fc3880257798592fb45d8
52,Custodian_23,pptx,11/09/2025,705164eda94af93078bc6d39b3766389
53,Custodian_16,pdf,11/08/2025,b88f76f788adac47f44ffcbb778eb498
54,Custodian_13,jpg,11/07/2025,fc44b574738eb2993a8a06b1c08e6ee7
55,Custodian_07,pptx,11/06/2025,5ae198bee2e2ef67efee091f4f87fd73
56,Custodian_04,jpg,11/05/2025,2742bc9c2ded81a225343cf4b0ab0146
