DocumentID|Owner|Extension|DateCreated|MD5
200001|Custodian_10|pptx|2025-12-30|7e29fd860d8b11652098375ae9b5d1f0
200002|Custodian_05|txt|2025-12-29|b0cd8dda9bea49bcdb64d467f42b9912
200003|Custodian_08|txt|2025-12-28|cba77cc0b8aa3d26f08a19406ce2b800
200004|Custodian_18|png|2025-12-27|4f462d34a59412027ea0532af5cc7133
200005|Custodian_06|pdf|2025-12-26|90d4d2963fb7c3fa35c7fba36c59c07d
200006|Custodian_10|docx|2025-12-25|e24ce194e84c61ac6e29808fbf88e602
200007|Custodian_24|png|2025-12-24|3ed73e32712178433ba0c48a666f762d
200008|Custodian_18|txt|2025-12-23|2e549087e72bdb9e162dce24d9d89109
200009|Custodian_05|docx|2025-12-22|f016cea88252841a9baee611c578eb52
200010|Custodian_08|pptx|2025-12-21|e6b26625d6004bc1ea7452b81fa98b42
200011|Custodian_12|xlsx|2025-12-20|1f385d2430a3482f6dc21ee3ad70a6a9
200012|Custodian_13|msg|2025-12-19|f590b63cec6b7ee474555248d2ec260f
200013|Custodian_05|xlsx|2025-12-18|9858cc72ee5f691e9ef125240f04b142
200014|Custodian_09|msg|2025-12-17|c6f12a92d64725afc671e79b0d2a10ad
200015|Custodian_14|msg|2025-12-16|26517e6c7ba9e6cc43d35b22b7a98e01
200016|Custodian_15|png|2025-12-15|105e44a353971ff91d02fb5f39feb55d
200017|Custodian_19|pdf|2025-12-14|9706937929bed19bbe62ef200186fcc2
200018|Custodian_21|txt|2025-12-13|c8e859fa6c1fb63b6ccae391cad5c1b6
200019|Custodian_12|msg|2025-12-12|0236bfac235d5830feaa036734addcbd
200020|Custodian_23|xlsx|2025-12-11|59470cdec7b1205b45585dd2d67fc1ae
200021|Custodian_22|pptx|2025-12-10|96fe9be8f778f10cb879572ae5a82269
200022|Custodian_04|xlsx|2025-12-09|f8114966ec8b67b99a56b8240950d730
200023|Custodian_17|jpg|2025-12-08|5055dd5842b5dba49d83f948a81d87f8
200024|Custodian_05|pptx|2025-12-07|722725e3b9e04e65d4481ebdd5b2144b
200025|Custodian_02|msg|2025-12-06|98f73e2850daea7540e3a8002673fda3
200026|Custodian_03|pdf|2025-12-05|3fc74c1c84b0d0275b49e3a07e11afe1
200027|Custodian_20|pdf|2025-12-04|7017c5a0decc3fc230d306e4d01d9388
200028|Custodian_23|png|2025-12-03|98925d773839dce38785b1a26052887a
200029|Custodian_19|docx|2025-12-02|dcd66499e4698dcce9a478067768717b
200030|Custodian_18|xlsx|2025-12-01|96699249ce5d9114eb758f3791146030
200031|Custodian_10|xlsx|2025-11-30|fbdc2118b5e55a567b4e2bdaba3ea635
200032|Custodian_11|pdf|2025-11-29|f0dfd8342ad5789070726c6db37ff6e6
200033|Custodian_23|msg|2025-11-28|39c5836fad3a8bb262276e101c334a2a
200034|Custodian_02|docx|2025-11-27|4da7da14301156778904d50c6d6f69c1
200035|Custodian_06|msg|2025-11-26|d2b303a3a2e339c68c8ae25f63791c62
200036|Custodian_12|txt|2025-11-25|00aded2bb7a2ef66a5e592767c886576
200037|Custodian_14|docx|2025-11-24|21a7d8acb029793e62edbdd7ece18df3
200038|Custodian_07|pdf|2025-11-23|bbfd56166357b4faac54ed2a70571f4a
200039|Custodian_07|pptx|2025-11-22|12969cdf03e40383d880facff9421d5f
200040|Custodian_02|pptx|2025-11-21|4c9a648e491a239d9a4c95e147a64b6d
200041|Custodian_09|xlsx|2025-11-20|96bf9aac1819eadb65db7e2593dfe3c1
200042|Custodian_25|pptx|2025-11-19|ca1f068299c754044347633aba95dc02
200043|Custodian_11|png|2025-11-18|43f1485876e6989a3cd5370fcbb72413
200044|Custodian_19|msg|2025-11-17|1f973884840fb4854bfc091487144e23
200045|Custodian_15|txt|2025-11-16|69c9fd4e49a5cc7d5de2ae433b41e111
200046|Custodian_10|xlsx|2025-11-15|1fae15c31ff1ecb999b0f849f9c8ba07
200047|Custodian_18|msg|2025-11-14|a235acc368b5bce30d9ca5dd4b267fe8
200048|Custodian_04|pdf|2025-11-13|9b47405f4493542a1659437760ea4d20
200049|Custodian_09|jpg|2025-11-12|7e39ede417405e5bcd69a02a394b3281
200050|Custodian_22|jpg|2025-11-11|66658b9ee21523e01f160b788c044ea3
200051|Custodian_17|png|2025-11-10|219c72dd49aa51a380c1befd8c699d03
200052|Custodian_05|jpg|2025-11-09|ae8fcf520dc09f5e039982eb90d5bea4
200053|Custodian_03|png|2025-11-08|a265586d48b2a1b0c8432d7c8109ba53
200054|Custodian_08|docx|2025-11-07|76b1975b6b86650db20e9792c49356b9
200055|Custodian_05|pptx|2025-11-06|2fff0e53ce38be2fea5193a298f0edbd
200056|Custodian_13|txt|2025-11-05|2e827ea26467748bd2e1bb85c601d657
200057|Custodian_15|docx|2025-11-04|3a4f67c09da2f30a03f6832ee160c11c
200058|Custodian_25|msg|2025-11-03|d5b22a33459ec30954f5e1b63a650c0b
200059|Custodian_21|xlsx|2025-11-02|bf74e2bbe747cedcfd9275c45c75a26f
200060|Custodian_08|pptx|2025-11-01|0fa5e8d631c8b5bf6f7065de89186ebb
200061|Custodian_17|xlsx|2025-10-31|f5e9fa9a98cf273891d33bea731c8ad5
200062|Custodian_25|xlsx|2025-10-30|317315547e47fe55b85427792c5d918e
