DocumentID|Owner|Extension|DateCreated|MD5
100001|Custodian_20|jpg|2023-02-02|bc0b968a3c35cab40c1828469afc0527
100002|Custodian_07|png|2025-02-26|e1b17fd793601437530ec25bcdf7b43d
100003|Custodian_18|png|2025-10-16|6b87249889f9e81c13457b07e99ef21c
100004|Custodian_14|bat|2022-08-24|a575d737d8975bfb7f7a2da2c1a78634
100005|Custodian_15|docx|2023-10-28|d9178c18875838e21944f6be9ce5c962
100006|Custodian_07|txt|2022-09-18|0a525e79f25e3ff4085d5010b80337b1
100007|Custodian_21|jpg|2024-02-10|b762a67df651f3a518ca850ed5db834f
100008|Custodian_21|xlsx|2024-11-11|1ec76eaf41d3ccf1d39a7991ce0dceed
100009|Custodian_07|xlsx|2025-02-13|e5505a74620462d4fe76e2928e714965
100010|Custodian_13|xlsx|2025-09-10|67d81ee02da68c4efa0a64f198a34458
100011|Custodian_02|pdf|2024-01-06|7899a8589eb5bbd87c2966ffac3b6c02
100012|Custodian_15|docx|2023-10-07|658ef8784dd046f7437f80a3aa2ed579
100013|Custodian_18|txt|2024-09-14|3b1de6cdc34c2177a0cdc626a270bc98
100014|Custodian_15|msg|2023-06-23|b8caa0102ad2f2c86237590750b8ab48
100015|Custodian_22|xlsx|2023-08-22|62b85642f81c60ec42bcfbc7a0c2dc60
100016|Custodian_08|msg|2022-11-03|85b1d0a5125b62113bc719ee0ac3c09f
100017|Custodian_06|txt|2023-05-15|edae416b5dfb7da8479e8df1927a3a78
100018|Custodian_15|pptx|2025-01-30|d5d3f8445682f1344498de58549c0ca6
100019|Custodian_06|pptx|2022-05-14|5f54392c86adf9f29432348f4a5447b0
100020|Custodian_09|jpg|2025-10-12|82b5aa0cd587ac7f641b35206d76080a
100021|Custodian_04|pptx|2025-12-16|0823f1bf8366a03b7a691b663aae95ec
100022|Custodian_06|xlsx|2022-04-03|2ec4da81b4ff7a2c2e93e8f57f43fd57
100023|Custodian_10|docx|2022-07-21|f94285817ec6111314b696fb5f687977
100024|Custodian_24|png|2023-11-18|fce16c6d4a28e6d1766ef81c6d1d1be5
100025|Custodian_24|txt|2025-02-26|f5dd024bfcd40da4c77dec17e7080b33
100026|Custodian_02|docx|2024-02-21|4117d577f3a0ed253077966efbcc2980
100027|Custodian_16|docx|2024-11-06|bd33ac139d938ca9dbc795bb2c8eb1e6
100028|Custodian_14|txt|2024-12-22|92451f55ef1db9120fd007c03bcde169
100029|Custodian_13|pptx|2024-11-15|9aa25769997e8fb3d98b76ab1b874668
100030|Custodian_09|pptx|2025-01-28|11fa60c25e0d0647ac5abb3cc49ba648
100031|Custodian_08|txt|2025-07-12|3aed82bfe8955c4ce1d82ecdb7d2441d
100032|Custodian_17|msg|2025-11-24|dd594b0dc1ec19f4cf3df6124cec6663
100033|Custodian_08|png|2025-09-24|121e4455c971e6e9d8ae05f1c389dd1b
100034|Custodian_18|pptx|2024-01-29|ea689de5a3814cd49056acb78a97d138
100035|Custodian_05|pdf|2023-11-07|319672b076542be0c76a53d197354fc1
100036|Custodian_08|pptx|2024-09-24|43f8709788e8d972597d7df8271e5ad9
100037|Custodian_23|png|2023-10-30|454c44fabc69943ea5789ea4d39506cf
100038|Custodian_01|docx|2024-04-08|0f4f10fea6b6c6b87d8d20684b33b07c
100039|Custodian_18|msg|2022-09-12|9e26dc9ccd4a42d9249c23bbe76e0394
100040|Custodian_14|msg|2025-06-30|5f6959f605eb8b9e155bd10a002fcf88
100041|Custodian_01|pdf|2023-08-16|46dfa3eb502760a97882ed6ffbf91a9c
100042|Custodian_11|jpg|2024-01-09|94cddf83828abca5cd07f6e16e0162a0
100043|Custodian_19|xlsx|2025-10-14|ef7e134f1d6403549b77e270776d6c3d
100044|Custodian_15|pptx|2025-08-31|5618a778f0cafa4a9a287f5ac484c08b
100045|Custodian_04|msg|2023-02-03|5e9eb8376da886ad9864c7b744cfd0bd
100046|Custodian_18|xlsx|2022-06-01|e3ede7f63e1b198920ab15b965e5f308
100047|Custodian_11|pptx|2025-10-10|c6a9ee6515788d784e934b59c9ce9942
100048|Custodian_14|pdf|2022-01-01|23ca4f0bd454845f60bc2ccf73dcc121
100049|Custodian_14|docx|2024-10-01|a4d4589c188861e16e4349fa57b55239
100050|Custodian_12|txt|2022-08-06|77a329ab0c28c56f53ba09155aa4431f
100051|Custodian_20|xlsx|2022-06-30|8a399f45930f14cca98552e81b5a1f65
100052|Custodian_05|jpg|2022-04-04|b1aa6ff5889f8f2fa9157fc1ec88f0f9
100053|Custodian_20|bat|2024-12-04|740b2417def6c0268bbb632abed36b3b
100054|Custodian_16|xlsx|2023-05-25|292cead75724ab79190639a591b58d11
100055|Custodian_06|xlsx|2022-12-12|d50c597c8275b08c7c2359eb86df877f
100056|Custodian_20|xlsx|2022-02-28|c02161c020e5f47db4945b6662e17b06
100057|Custodian_22|pdf|2024-01-16|32c8d7b9acadbd459d4865d3adf8cdf2
100058|Custodian_06|pdf|2023-03-08|b52c2d47c4f53f2191da6e7d573b0939
100059|Custodian_05|docx|2022-11-22|cbcea6419aab226c0ad6302529385a46
100060|Custodian_01|pptx|2022-05-27|566d5e4cc078cf4daee68fc4c20aa282
100061|Custodian_24|txt|2024-08-26|ac0a683917e62fe742ef56f376062e0c
100062|Custodian_02|pptx|2024-10-15|ab5e22b794a8e402355773445a50f71f
100063|Custodian_03|pdf|2023-05-06|5889e94abfe3ed1e6b7c9954a06c2c1a
100064|Custodian_18|msg|2024-07-07|2beddb92974ca4a410e453005465f353
100065|Custodian_01|docx|2022-01-20|1d4f8ef01340bc94ae96cc66e5768a36
100066|Custodian_13|docx|2023-04-24|35da3f57ab70d3d2fcaa26831d711fa2
100067|Custodian_18|txt|2023-06-29|8d45c537736975283c88006c1c96a03a
100068|Custodian_13|pdf|2023-07-28|26d10879f396a343720a7b2f5590c1e7
100069|Custodian_10|jpg|2023-09-16|4e27c03b5fa7cd972614b689e7810cbd
100070|Custodian_21|txt|2024-03-07|68f154d7110ea44a107a2d607efb72b5
